# Sample: 001
# Mode: V_vs_I
# Timestamp: 20251116_213726
# mode = current
# channel = a
# start = 5e-08
# stop = 1e-06
# num_points = 19
# acq_time = 1.0
# limit = 1.0
# temp_control = True
# temp_setpoint = 300
# temp_channel = A
# temp_tolerance = 0.1
# temp_max_wait = 300
# temp_loop = 1
# Columns: I[A]	V[V]
5.000000e-08	1.995800e-04
1.027778e-07	2.195120e-04
1.555556e-07	2.403260e-04
2.083333e-07	2.597090e-04
2.611111e-07	2.733950e-04
3.138889e-07	2.989290e-04
3.666667e-07	3.140210e-04
4.194444e-07	3.333090e-04
4.722222e-07	3.517630e-04
5.250000e-07	3.720280e-04
5.777778e-07	3.883360e-04
6.305556e-07	4.061220e-04
6.833333e-07	4.264120e-04
7.361111e-07	4.420280e-04
7.888889e-07	4.625320e-04
8.416667e-07	4.778390e-04
8.944444e-07	4.967930e-04
9.472222e-07	5.151750e-04
1.000000e-06	5.312920e-04
