# Sample: 001
# Mode: V_vs_I
# Timestamp: 20251116_225526
# mode = current
# channel = a
# start = 5e-08
# stop = 1e-06
# num_points = 19
# acq_time = 1.0
# limit = 1.0
# temp_control = True
# temp_setpoint = 100
# temp_channel = A
# temp_tolerance = 0.1
# temp_max_wait = 15000
# temp_loop = 1
I[A]	V[V]
5.000000e-08	2.964260e-04
1.027778e-07	3.075600e-04
1.555556e-07	3.229140e-04
2.083333e-07	3.348110e-04
2.611111e-07	3.488300e-04
3.138889e-07	3.623250e-04
3.666667e-07	3.744360e-04
4.194444e-07	3.932240e-04
4.722222e-07	4.031180e-04
5.250000e-07	4.195210e-04
5.777778e-07	4.318000e-04
6.305556e-07	4.413840e-04
6.833333e-07	4.561900e-04
7.361111e-07	4.684210e-04
7.888889e-07	4.823450e-04
8.416667e-07	4.960300e-04
8.944444e-07	5.073790e-04
9.472222e-07	5.249260e-04
1.000000e-06	5.343200e-04
