# Sample: 001
# Mode: V_vs_I
# Timestamp: 20251116_231523
# mode = current
# channel = a
# start = 5e-08
# stop = 1e-06
# num_points = 19
# acq_time = 1.0
# limit = 1.0
# temp_control = True
# temp_setpoint = 10
# temp_channel = A
# temp_tolerance = 0.1
# temp_max_wait = 15000
# temp_loop = 1
I[A]	V[V]
5.000000e-08	3.015760e-04
1.027778e-07	3.124240e-04
1.555556e-07	3.247020e-04
2.083333e-07	3.368620e-04
2.611111e-07	3.522630e-04
3.138889e-07	3.639700e-04
3.666667e-07	3.799920e-04
4.194444e-07	3.986600e-04
4.722222e-07	4.127980e-04
5.250000e-07	4.262210e-04
5.777778e-07	4.378560e-04
6.305556e-07	4.525660e-04
6.833333e-07	4.611730e-04
7.361111e-07	4.758830e-04
7.888889e-07	4.803420e-04
8.416667e-07	4.901650e-04
8.944444e-07	4.948380e-04
9.472222e-07	5.067110e-04
1.000000e-06	5.157470e-04
