# Sample: 001
# Mode: V_vs_I
# Timestamp: 20251116_214833
# mode = current
# channel = a
# start = 5e-08
# stop = 1e-06
# num_points = 19
# acq_time = 1.0
# limit = 1.0
# temp_control = True
# temp_setpoint = 250
# temp_channel = A
# temp_tolerance = 0.1
# temp_max_wait = 15000
# temp_loop = 1
# Columns: I[A]	V[V]
5.000000e-08	2.222060e-04
1.027778e-07	2.400880e-04
1.555556e-07	2.551080e-04
2.083333e-07	2.743240e-04
2.611111e-07	2.918240e-04
3.138889e-07	3.051040e-04
3.666667e-07	3.284930e-04
4.194444e-07	3.456350e-04
4.722222e-07	3.597500e-04
5.250000e-07	3.777980e-04
5.777778e-07	3.974440e-04
6.305556e-07	4.161120e-04
6.833333e-07	4.360680e-04
7.361111e-07	4.540440e-04
7.888889e-07	4.684690e-04
8.416667e-07	4.849670e-04
8.944444e-07	5.007740e-04
9.472222e-07	5.196330e-04
1.000000e-06	5.357980e-04
